"huc12","areasqkm"
"040601040307",39.053712008
"040700070110",73.2926588966
"040601030109",84.477965397
"040601040303",118.820575162
"040700070406",53.6533710005
"040700070704",87.1362716458
"040700070607",71.5517565572
"040601040302",55.4436118057
"040601040301",89.7944823556
"040700070702",74.5517589735
"040601050504",85.1127090521
"040601050502",113.956746555
"040601030104",116.905364543
"040700070308",82.5671805281
"040601040305",114.933355753
"040700070603",139.21675625
"040700070310",42.9574306906
"040601030202",146.278050423
"040700070701",99.9821428758
"040601040205",119.914723345
"040700070309",94.4461632634
"040700070501",109.658987384
"040700070604",83.85196512
"040601040206",54.0144812729
"040601040403",7.16819883858
"040700070505",98.9712548096
"040601050506",153.143355444
"040601050503",69.6622160157
"040601050705",40.5622770017
"040700070504",75.867027323
"040601030108",110.439041398
"040700070502",125.37044782
"040601040202",70.247648556
"040601050507",109.5466252
"040700060502",135.596546729
"040601040201",58.5115504594
"040601030105",89.2424548289
"040601050501",121.149132552
"040700030406",96.7363937569
"040700060503",109.475869941
"040601050704",55.3883354764
"040700070503",97.1232550797
"040700070306",106.287292577
"040601040204",118.087055956
"040601040203",78.0149607916
"040700030405",91.3878079154
"040700070307",79.7966018948
"040700060501",49.5979617199
"040700060201",58.6623238278
"040601050403",114.788912181
"040700060202",114.98075627
"040700070304",54.9281680646
"040700060103",156.205979285
"040601050404",93.6859073687
"040700060102",74.7992849444
"040700030404",69.7505491457
"040700060504",108.443573925
"040700070305",129.648241183
"040700070209",146.378214693
"040700070208",80.7746634349
"040601030103",114.526990093
"040700070205",80.8707680305
"040601050703",58.8021017448
"040601030102",91.106570401
"040700070206",70.3818282572
"040700070210",118.029526131
"040700070303",40.5587580572
"040601040403",58.893230874
"040700030402",59.4215417301
"040601030106",153.931637366
"040700030401",40.9650480747
"040700070302",43.7063464524
"040601040402",120.315549727
"040700070202",51.0557413776
"040601050402",107.446416807
"040601050405",123.693573864
"040601040101",155.350561231
"040700060303",89.8450915381
"040700060505",63.9797677368
"040700060104",128.947366275
"040700060305",114.306864434
"040700060101",95.7981478959
"040601040102",133.201175268
"040700060105",49.4868451227
"040601050706",80.5552181935
"040601050707",74.2571899991
"040700060203",143.785578353
"040700060304",82.082107633
"040700070204",118.059188708
"040700070207",136.170353277
"040700070301",60.1393533099
"040601040401",117.885179091
"040700060307",55.8450163224
"040601030101",137.127735402
"040700010201",71.7550752926
"040301100206",118.833255567
"040301100202",98.7224168455
"040301060404",100.33110872
"040202020201",61.4583701218
"040601060309",101.136912415
"040301070205",59.8147636567
"040700020206",77.6252669997
"040202020303",82.6138721909
"040700010104",77.2926016041
"040201020203",114.840298491
"040201020202",118.673463767
"040201010301",102.087334021
"040700010105",41.3601970444
"040700010101",40.4467910382
"040202020301",103.671456829
"040301070303",61.2899683575
"040601060103",119.516537967
"040301110104",50.0798922895
"040601060402",44.799849579
"040301070111",57.0691248433
"040301100203",83.7662438029
"040601060403",71.2530215887
"040301060106",136.260502106
"040202020202",62.1904677851
"040202010111",42.3913247751
"040301100204",92.8060154744
"040301100302",156.118214207
"040202020104",47.8234644057
"040601060304",57.8711897766
"040301100201",86.8742299453
"040700020205",55.2194637629
"040301060401",87.4129862192
"040700020201",72.9408100505
"040601060308",153.828524477
"040202010109",76.5695902104
"040301060403",103.871768328
"040202020105",50.4948808042
"040301120202",124.213005907
"040202020203",106.237412507
"040201020103",85.5237804284
"040601060501",56.7589731147
"040202030202",71.730067532
"040601060502",58.3690829542
"040601060404",59.8796236887
"040201020102",90.7429420418
"040301110101",118.998975754
"040301060101",88.8292144219
"040201010305",70.5649328726
"040201020204",123.759836166
"040301070301",74.862897835
"040201010304",64.7635157692
"040202020204",54.8893363797
"040202020304",52.9009288164
"040202030203",98.347274546
"040301070204",66.8586892538
"040301060102",77.704469146
"040601060407",40.5909607399
"040301060205",135.533335064
"040202010101",142.085932807
"040301100104",77.0011561718
"040700010102",71.4921324371
"040202010110",88.526361557
"040201010201",74.6830236163
"040301100111",132.971378802
"040700020204",65.4730651853
"040601060401",91.4201153066
"040301060402",44.8666293249
"040601060305",85.5439144294
"040601060206",93.2939054842
"040301070110",72.0252185707
"040202020402",83.2458659648
"040202030206",67.148682773
"040202010202",60.2595187682
"040301100109",49.2801695978
"040201020104",77.1670641658
"040202030201",43.5359169818
"040202020305",49.3105459921
"040202020401",87.7203946473
"040301100110",109.340563351
"040601060409",111.004015847
"040201010202",94.056646507
"040202030205",56.6429759771
"040202020107",88.9558232829
"040601060306",108.719332891
"040202010112",101.310982146
"040202020103",47.9555844511
"040202020403",80.485126884
"040301070203",92.4600845213
"040601060207",68.3588301111
"040202010107",41.1187123243
"040201020402",47.4511312324
"040601060302",45.3211246794
"040301060202",53.7878701765
"040201020108",85.6094835909
"040700010103",79.6451530135
"040201020109",108.589553813
"040202030204",47.0311448769
"040201020401",130.73406315
"040601060408",82.1017622896
"040301060204",56.7680931198
"040202030104",40.539793807
"040201020107",69.8546493383
"040601060205",98.3135202153
"040301070109",92.5933360141
"040301100103",49.8828519661
"040202020102",48.7060526827
"040202010113",10.0366889241
"040202020502",47.2755953215
"040202010108",51.0447410988
"040301100108",54.3048457873
"040201040104",108.545230716
"040601060405",55.0047462217
"040202010103",61.5599051334
"040202030102",46.1095145988
"040202010201",64.4657203473
"040301100106",74.2394250566
"040201020205",99.2005908612
"040201020302",41.7854578024
"040202020504",79.336823417
"040601060303",55.2385817366
"040202010102",115.505608331
"040202030105",80.2565264884
"040202020501",87.6195805299
"040202030103",101.646979436
"040202020106",111.429423368
"040201020301",79.3336858676
"040201020303",107.760466027
"040301070202",110.484802155
"040601060203",109.331233953
"040202010204",22.8102049226
"040202010203",68.7063101168
"040201010203",75.3627725281
"040202010105",75.2191246035
"040202030105",31.5393811852
"040700010101",98.5034371694
"040301070201",107.710086774
"040301060201",57.0192578551
"040202010104",91.9528840965
"040202010113",15.3323618008
"040301100102",84.7971631632
"040301100107",94.8581567842
"040202020404",86.7189948041
"040201020304",62.4384374601
"040201010306",121.023016702
"040201050106",1.88348662577
"040202020503",98.5014565108
"040201020106",105.94836876
"040301100105",87.7613780079
"040202010113",15.2758204002
"040202010106",92.1781303043
"040301070107",74.4642125786
"040201020110",55.9089231336
"040202010113",36.2427680919
"040202020505",69.0172846964
"040201050101",94.5435408786
"040201020208",69.8283959124
"040201050106",22.3457891165
"040201020209",57.4338724394
"040301070108",86.3983967303
"040202020506",73.9068906193
"040202010304",102.77267533
"040201040102",126.557006269
"040201050205",65.464883345
"040601060201",64.8851084391
"040601060202",135.958435317
"040301100101",118.420822061
"040202010205",74.7011541536
"040201040107",79.87584292
"040301070106",79.1212772167
"040202010303",60.7813323934
"040201020403",54.6415049143
"040201020305",111.984376699
"040201020404",188.933456632
"040202020507",73.7989444358
"040202010207",112.600204374
"040103020108",105.289983543
"040201020306",132.461035469
"040202020508",62.6993989245
"040301070104",46.2317202723
"040201040106",77.6082810584
"040202010302",124.065321734
"040201050106",19.5237239759
"040201050204",166.171889443
"040201050103",57.7308020545
"040201010309",53.5667003387
"040201020406",75.2783043477
"040202010401",59.4468819542
"040201010307",93.6590022433
"040201040101",135.13633542
"040201020111",84.2275728645
"040301070102",65.6255991756
"040301070101",49.5041791453
"040202010206",125.693824315
"040202010305",50.7625273095
"040201010101",105.346238541
"040201010206",143.727875974
"040201040103",154.149949316
"040202010407",48.379105766
"040201050106",6.72146442012
"040201020210",72.5269126218
"040202010209",70.3155224455
"040202010210",56.90125367
"040201010401",92.6468846174
"040202010208",86.843010474
"040201020407",84.9682475705
"040202010405",47.4864681031
"040201050201",62.1401620884
"040202010209",20.2366900735
"040301070103",48.088257844
"040201050203",53.3538364248
"040201020211",90.4817849078
"040201050104",43.2566180736
"040202010211",70.4739529768
"040201020405",64.1331854154
"040202010306",110.650632675
"040201020408",61.1989241525
"040201010102",34.2374559579
"040201010310",107.350427448
"040202010403",0.303050645718
"040202010404",114.75852892
"040201050202",78.0754473535
"040201050106",1.84945653001
"040201020307",85.5754976277
"040202010402",88.7121423858
"040201040108",118.4535354
"040301070105",136.574742452
"040201050105",76.879878854
"040201050604",81.7483623366
"040201020309",46.3582669705
"040201010402",89.5801339402
"040202010406",79.6739602727
"040201050602",121.599599065
"040201010102",56.8218234628
"040201010105",7.78780492785
"040202010403",115.006991896
"040201040203",111.286693664
"040201050301",92.0831082059
"040201010103",41.7153725254
"040201050302",71.135069736
"040201020308",86.1053788207
"040201040202",100.916908914
"040201040201",135.140259562
"040201030102",70.176400534
"040201050106",15.8257392379
"040201010104",65.8829756279
"040201010106",45.8317525349
"040201040204",48.7594073662
"040201050605",100.876532337
"040201010105",2.19157863802
"040201010403",74.9058659822
"040201010105",73.7657004758
"040201050303",91.0636990783
"040201050608",6.1428471212
"040201050606",48.2036558884
"040201010107",51.6027367387
"040201010108",3.34440211038
"040201030104",91.0519341152
"040201050608",0.551021662641
"040201010108",45.3095278944
"040201010109",87.2973587809
"040201010110",51.0108869302
"040201010112",19.6836569862
"040201010111",57.744511556
"040201050403",11.2593510899
"040201050607",70.0228390382
"040201030105",75.3285926075
"040201050502",87.6953594486
"040201010112",30.835770344
"040201020409",163.844303778
"040201040207",151.125525803
"040201050501",102.089837018
"040201050401",128.104426589
"040201050403",4.63898517157
"040201050402",123.647656051
"040201050403",41.0498179344
"040201050503",25.0178725212
"040201050608",44.9077977656
"040201030101",54.6064671721
"040201040210",78.3903073178
"040201030103",96.1667209451
"040201040209",54.6749513424
"040201030106",56.4545902024
"040201040208",132.376038082
"040201050603",140.024659105
"040201050601",153.780367986
"040201030107",116.333420252
"040201030108",57.8989988103
"040201030201",147.968781721
"040201030108",28.9644013891
"040201040205",49.924510268
"040201040211",65.7107776784
"040201030306",44.7492421993
"040201030202",40.6175087777
"040201040206",76.7935409769
"040201030203",75.4515338986
"040201030302",62.9644641099
"040201030206",22.4172172985
"040201030204",52.07217445
"040201030507",43.9143169691
"040201030305",62.7292337427
"040201030206",13.6102854984
"040201030205",110.77677448
"040201030508",17.9564480155
"040201030301",39.1700716359
"040201030505",61.2217362403
"040201030307",264.136469019
"040201030206",23.6688543501
"040201030508",13.8424859718
"040201030304",94.1936071109
"040201030504",65.5836556905
"040201030401",102.959256728
"040201030303",111.247276581
"040201030503",137.156336913
"040201030402",44.9102894853
"040201030506",52.9048101992
"040201030502",102.483804849
"040201030508",11.9020607211
"040201030403",47.489217482
"040201030404",55.0465961557
"040201030501",114.897325723
"040201030405",195.897373246
"040301080902",43.0471570034
"040301080901",96.910383204
"040400010104",56.6455394566
"040400010102",41.68097219
"040601060412",49.5883466263
"040601060410",42.4371618894
"040201010308",122.890618879
"040201010204",143.928937083
"040202010301",87.4599550145
"040201040105",85.8590525441
"040201020206",126.953071754
"040201020105",97.9450146808
"040202010204",43.2376558894
"040202020101",125.958160864
"040201020207",44.4177256155
"040301060203",86.9717317273
